date,r
2/15/19,2.4
2/18/19,2.4
2/19/19,2.4
2/20/19,2.4
2/21/19,2.4
2/22/19,2.4
2/25/19,2.4
2/26/19,2.4
2/27/19,2.4
2/28/19,2.4
3/1/19,2.4
3/4/19,2.4
3/5/19,2.4
3/6/19,2.4
3/7/19,2.4
3/8/19,2.4
3/11/19,2.4
3/12/19,2.4
3/13/19,2.4
3/14/19,2.4
3/15/19,2.4
3/18/19,2.4
3/19/19,2.4
3/20/19,2.41
3/21/19,2.41
3/22/19,2.41
3/25/19,2.4
3/26/19,2.4
3/27/19,2.41
3/28/19,2.41
3/29/19,2.43
4/1/19,2.41
4/2/19,2.41
4/3/19,2.41
4/4/19,2.41
4/5/19,2.41
4/8/19,2.41
4/9/19,2.41
4/10/19,2.41
4/11/19,2.41
4/12/19,2.41
4/15/19,2.41
4/16/19,2.41
4/17/19,2.42
4/18/19,2.43
4/22/19,2.4
4/23/19,2.4
4/24/19,2.4
4/25/19,2.4
4/26/19,2.4
4/29/19,2.4
4/30/19,2.4
5/1/19,2.4
5/2/19,2.4
5/3/19,2.4
5/6/19,2.4
5/7/19,2.4
5/8/19,2.4
5/9/19,2.4
5/10/19,2.4
5/13/19,2.4
5/14/19,2.4
5/15/19,2.4
5/16/19,2.4
5/17/19,2.4
5/20/19,2.4
5/21/19,2.4
5/22/19,2.4
5/23/19,2.4
5/24/19,2.4
5/28/19,2.4
5/29/19,2.4
5/30/19,2.4
5/31/19,2.4
6/3/19,2.4
6/4/19,2.4
6/5/19,2.4
6/6/19,2.4
6/7/19,2.4
6/10/19,2.4
6/11/19,2.4
6/12/19,2.4
6/13/19,2.4
6/14/19,2.4
6/17/19,2.4
6/18/19,2.4
6/19/19,2.4
6/20/19,2.4
6/21/19,2.4
6/24/19,2.4
6/25/19,2.4
6/26/19,2.4
6/27/19,2.4
6/28/19,2.4
7/1/19,2.4
7/2/19,2.4
7/3/19,2.4
7/5/19,2.4
7/8/19,2.4
7/9/19,2.4
7/10/19,2.4
7/11/19,2.4
7/12/19,2.4
7/15/19,2.4
7/16/19,2.4
7/17/19,2.4
7/18/19,2.4
7/19/19,2.4
7/22/19,2.4
7/23/19,2.4
7/24/19,2.4
7/25/19,2.4
7/26/19,2.4
7/29/19,2.4
7/30/19,2.4
7/31/19,2.4
8/1/19,2.1
8/2/19,2.1
8/5/19,2.1
8/6/19,2.1
8/7/19,2.1
8/8/19,2.1
8/9/19,2.1
8/12/19,2.1
8/13/19,2.1
8/14/19,2.1
8/15/19,2.1
8/16/19,2.1
8/19/19,2.1
8/20/19,2.1
8/21/19,2.1
8/22/19,2.1
8/23/19,2.1
8/26/19,2.1
8/27/19,2.1
8/28/19,2.1
8/29/19,2.1
8/30/19,2.1
9/3/19,2.1
9/4/19,2.1
9/5/19,2.1
9/6/19,2.1
9/9/19,2.1
9/10/19,2.1
9/11/19,2.1
9/12/19,2.1
9/13/19,2.1
9/16/19,2.1
9/17/19,2.1
9/18/19,2.1
9/19/19,1.85
9/20/19,1.85
9/23/19,1.85
9/24/19,1.85
9/25/19,1.85
9/26/19,1.85
9/27/19,1.85
9/30/19,1.85
10/1/19,1.85
10/2/19,1.85
10/3/19,1.85
10/4/19,1.85
10/7/19,1.85
10/8/19,1.85
10/9/19,1.85
10/10/19,1.85
10/11/19,1.85
10/14/19,1.85
10/15/19,1.85
10/16/19,1.85
10/17/19,1.85
10/18/19,1.85
10/21/19,1.85
10/22/19,1.85
10/23/19,1.85
10/24/19,1.85
10/25/19,1.85
10/28/19,1.85
10/29/19,1.85
10/30/19,1.85
10/31/19,1.55
11/1/19,1.55
11/4/19,1.55
11/5/19,1.55
11/6/19,1.55
11/7/19,1.55
11/8/19,1.55
11/11/19,1.55
11/12/19,1.55
11/13/19,1.55
11/14/19,1.55
11/15/19,1.55
11/18/19,1.55
11/19/19,1.55
11/20/19,1.55
11/21/19,1.55
11/22/19,1.55
11/25/19,1.55
11/26/19,1.55
11/27/19,1.55
11/29/19,1.55
12/2/19,1.55
12/3/19,1.55
12/4/19,1.55
12/5/19,1.55
12/6/19,1.55
12/9/19,1.55
12/10/19,1.55
12/11/19,1.55
12/12/19,1.55
12/13/19,1.55
12/16/19,1.55
12/17/19,1.55
12/18/19,1.55
12/19/19,1.55
12/20/19,1.55
12/26/19,1.55
12/27/19,1.55
1/2/20,1.55
1/3/20,1.55
1/6/20,1.55
1/7/20,1.55
1/8/20,1.55
1/9/20,1.55
1/10/20,1.55
1/13/20,1.55
1/14/20,1.55
1/15/20,1.55
1/16/20,1.55
1/17/20,1.55
1/21/20,1.55
1/22/20,1.55
1/23/20,1.55
1/24/20,1.55
1/27/20,1.55
1/28/20,1.55
1/29/20,1.55
1/30/20,1.55
1/31/20,1.55
2/3/20,1.55
2/4/20,1.55
2/5/20,1.55
2/6/20,1.55
2/7/20,1.55
2/10/20,1.55
2/11/20,1.55
2/12/20,1.55
2/13/20,1.55
2/14/20,1.55
2/18/20,1.55
2/19/20,1.55
2/20/20,1.55
2/21/20,1.55
2/24/20,1.55
2/25/20,1.55
2/26/20,1.55
2/27/20,1.55
2/28/20,1.55
3/2/20,1.55
3/3/20,1
3/4/20,1
3/5/20,1
3/6/20,1
3/9/20,1
3/10/20,1
3/11/20,1
3/12/20,1
3/13/20,1
3/16/20,0.05
3/17/20,0.05
3/18/20,0.05
3/19/20,0.05
3/20/20,0.05
3/23/20,0.05
3/24/20,0.05
3/25/20,0.05
3/26/20,0.05
3/27/20,0.05
3/30/20,0.05
3/31/20,0.05
4/1/20,0.05
4/2/20,0.05
4/3/20,0.05
4/6/20,0.05
4/7/20,0.05
4/8/20,0.05
4/9/20,0.05
4/13/20,0.05
4/14/20,0.05
4/15/20,0.05
4/16/20,0.05
4/17/20,0.05
4/20/20,0.05
4/21/20,0.05
4/22/20,0.05
4/23/20,0.05
4/24/20,0.05
4/27/20,0.05
4/28/20,0.05
4/29/20,0.05
4/30/20,0.05
5/1/20,0.05
5/4/20,0.05
5/5/20,0.05
5/6/20,0.05
