Effective Date,Rate Type,Rate (%),1st Percentile (%),25th Percentile (%),75th Percentile (%),99th Percentile (%),Volume ($Billions),Volume change,Target Rate To (%),Intra Day - Low (%),Intra Day - High (%),Standard Deviation (%),30-Day Average SOFR,90-Day Average SOFR,180-Day Average SOFR,SOFR Index,Revision Indicator (Y/N),Footnote ID
08/10/2023,SOFR,5.3,5.25,5.3,5.34,5.38,1360,0.028744327,,,,,,,,,,
08/09/2023,SOFR,5.3,5.24,5.28,5.32,5.38,1322,-0.013432836,,,,,,,,,,
08/08/2023,SOFR,5.3,5.23,5.28,5.31,5.38,1340,-0.006671609,,,,,,,,,,
08/07/2023,SOFR,5.3,5.23,5.28,5.31,5.38,1349,-0.014609204,,,,,,,,,,
08/04/2023,SOFR,5.3,5.23,5.29,5.32,5.38,1369,-0.03113942,,,,,,,,,,
08/03/2023,SOFR,5.3,5.24,5.29,5.34,5.39,1413,-0.002118644,,,,,,,,,,
08/02/2023,SOFR,5.3,5.25,5.3,5.34,5.39,1416,-0.052842809,,,,,,,,,,
08/01/2023,SOFR,5.31,5.25,5.3,5.35,5.4,1495,-0.036105738,,,,,,,,,,
07/31/2023,SOFR,5.31,5.25,5.3,5.36,5.41,1551,0.093023256,,,,,,,,,,
07/28/2023,SOFR,5.3,5.25,5.3,5.36,5.41,1419,-0.054630247,,,,,,,,,,
07/27/2023,SOFR,5.31,5.07,5.3,5.37,5.42,1501,0.033746556,,,,,,,,,,
07/26/2023,SOFR,5.06,5,5.05,5.11,5.16,1452,-0.012244898,,,,,,,,,,
07/25/2023,SOFR,5.06,5,5.05,5.1,5.15,1470,0.076923077,,,,,,,,,,
07/24/2023,SOFR,5.05,5,5.05,5.09,5.13,1365,-0.025,,,,,,,,,,
07/21/2023,SOFR,5.05,5,5.05,5.09,5.14,1400,-0.04109589,,,,,,,,,,
07/20/2023,SOFR,5.06,5,5.05,5.1,5.14,1460,0.002747253,,,,,,,,,,
07/19/2023,SOFR,5.05,5,5.05,5.1,5.14,1456,-0.01754386,,,,,,,,,,
07/18/2023,SOFR,5.06,5,5.05,5.1,5.15,1482,-0.027559055,,,,,,,,,,
07/17/2023,SOFR,5.06,5,5.05,5.11,5.15,1524,0.052486188,,,,,,,,,,
07/14/2023,SOFR,5.05,5,5.05,5.1,5.15,1448,0.002076125,,,,,,,,,,
07/13/2023,SOFR,5.06,5,5.05,5.09,5.14,1445,0.061719324,,,,,,,,,,
07/12/2023,SOFR,5.05,5,5.05,5.09,5.15,1361,-0.054204309,,,,,,,,,,
07/11/2023,SOFR,5.06,5,5.05,5.11,5.15,1439,-0.044488712,,,,,,,,,,
07/10/2023,SOFR,5.06,5,5.05,5.12,5.17,1506,-0.026502909,,,,,,,,,,
07/07/2023,SOFR,5.06,5,5.05,5.13,5.17,1547,-0.016528926,,,,,,,,,,
07/06/2023,SOFR,5.06,5,5.05,5.13,5.18,1573,-0.010069226,,,,,,,,,,
07/05/2023,SOFR,5.06,5,5.05,5.13,5.17,1589,0.006333122,,,,,,,,,,
07/03/2023,SOFR,5.06,5,5.05,5.14,5.18,1579,0.019367334,,,,,,,,,,
06/30/2023,SOFR,5.09,4.95,5.05,5.16,5.22,1549,0.004539559,,,,,,,,,,
06/29/2023,SOFR,5.06,5,5.05,5.14,5.19,1542,0.028685791,,,,,,,,,,
06/28/2023,SOFR,5.06,5,5.05,5.13,5.18,1499,0.01215395,,,,,,,,,,
06/27/2023,SOFR,5.05,5,5.05,5.12,5.16,1481,0.036389083,,,,,,,,,,
06/26/2023,SOFR,5.05,5,5.05,5.11,5.15,1429,0.028797696,,,,,,,,,,
06/23/2023,SOFR,5.05,5,5.05,5.11,5.15,1389,0.025849335,,,,,,,,,,
06/22/2023,SOFR,5.05,5,5.05,5.1,5.14,1354,-0.023792358,,,,,,,,,,
06/21/2023,SOFR,5.05,5,5.04,5.1,5.14,1387,-0.028030834,,,,,,,,,,
06/20/2023,SOFR,5.05,4.98,5.05,5.1,5.14,1427,0.015658363,,,,,,,,,,
06/16/2023,SOFR,5.05,5,5.05,5.11,5.15,1405,-0.079895219,,,,,,,,,,
06/15/2023,SOFR,5.06,5,5.05,5.12,5.17,1527,0.09305655,,,,,,,,,,
06/14/2023,SOFR,5.05,4.99,5.03,5.09,5.14,1397,0.016,,,,,,,,,,
06/13/2023,SOFR,5.05,4.98,5.04,5.09,5.14,1375,-0.017155111,,,,,,,,,,
06/12/2023,SOFR,5.05,4.97,5.03,5.08,5.13,1399,0.005028736,,,,,,,,,,
06/09/2023,SOFR,5.05,4.99,5.03,5.09,5.13,1392,-0.007132668,,,,,,,,,,
06/08/2023,SOFR,5.05,4.99,5.03,5.09,5.14,1402,-0.018894332,,,,,,,,,,
06/07/2023,SOFR,5.05,4.99,5.03,5.09,5.15,1429,0.010608204,,,,,,,,,,
06/06/2023,SOFR,5.05,5,5.04,5.1,5.15,1414,-0.039402174,,,,,,,,,,
06/05/2023,SOFR,5.06,5,5.05,5.13,5.18,1472,-0.002033898,,,,,,,,,,
06/02/2023,SOFR,5.07,5,5.05,5.17,5.23,1475,-0.093423479,,,,,,,,,,
06/01/2023,SOFR,5.08,5,5.06,5.19,5.24,1627,0.002464572,,,,,,,,,,
05/31/2023,SOFR,5.08,5,5.05,5.17,5.21,1623,0.060784314,,,,,,,,,,
05/30/2023,SOFR,5.06,4.99,5.05,5.13,5.19,1530,0.036585366,,,,,,,,,,
05/26/2023,SOFR,5.06,5,5.05,5.15,5.22,1476,-0.039687703,,,,,,,,,,
05/25/2023,SOFR,5.06,5,5.05,5.15,5.21,1537,0.097073519,,,,,,,,,,
05/24/2023,SOFR,5.05,4.99,5.05,5.11,5.15,1401,0.013015184,,,,,,,,,,
05/23/2023,SOFR,5.05,4.98,5.04,5.1,5.14,1383,-0.035564854,,,,,,,,,,
05/22/2023,SOFR,5.05,4.97,5.03,5.09,5.13,1434,0.052090976,,,,,,,,,,
05/19/2023,SOFR,5.05,4.97,5.04,5.09,5.14,1363,-0.027123483,,,,,,,,,,
